"gvkey","datadate","be1","op1","op2","at","at_lag1","in"
3643,"2020-12-31 00:00:00.000",4147.564,528.293,0.127374285243097,42391.317,34027.428,1.24579844824005
3647,"2020-04-30 00:00:00.000",131.516,14.171,0.107751148149275,215.084,219.726,0.978873688138864
3650,"2020-12-31 00:00:00.000",8387,2391,0.285084058662215,22624,19737,1.14627349647869
3662,"2020-12-31 00:00:00.000",1902.581,443.128,0.232908874838969,4021.334,3764.261,1.06829308594702
3691,"2020-12-31 00:00:00.000",NA,-10.084,NA,5.661,0.396,14.2954545454545
3708,"2020-12-31 00:00:00.000",830.351,291.979,0.351633224985579,5040.006,4994.529,1.00910536308829
3734,"2020-12-31 00:00:00.000",1796,414,0.230512249443207,7376,7220,1.02160664819945
3735,"2020-12-31 00:00:00.000",36396,6247,0.171639740630839,76161,62081.6,1.22678861369552
3761,"2020-12-31 00:00:00.000",19.639,-1.611,-0.0820306532919192,25.592,28.281,0.904918496517096
3801,"2020-12-31 00:00:00.000",79.674,145.063,1.82070688053819,655.354,596.862,1.09799920249572
3806,"2020-12-31 00:00:00.000",90.993,3.09899999999999,0.0340575648676271,103.377,127.608,0.810113785969532
3813,"2020-01-31 00:00:00.000",12955,6778,0.523195677344655,42779,41290,1.03606200048438
3814,"2020-12-31 00:00:00.000",NA,88.1,NA,2036,1935.8,1.05176154561422
3835,"2020-10-31 00:00:00.000",13456,6486,0.482015457788347,75091,73011,1.02848885784334
3836,"2020-10-31 00:00:00.000",4642.5,1421.8,0.306257404415724,40857.2,40089.9,1.01913948400969
3842,"2020-12-31 00:00:00.000",27.188,-0.042,-0.00154479917610711,33.313,35.199,0.946418932356033
3851,"2020-12-31 00:00:00.000",1534,-6813,-4.44132985658409,71996,64532,1.1156635467675
3863,"2020-12-31 00:00:00.000",551.34,317.447,0.575773569848006,1874.863,1943.311,0.964777639811641
3897,"2020-12-31 00:00:00.000",15409,2745,0.178142643909404,45496,41882,1.08629005300606
3905,"2020-06-30 00:00:00.000",1335.396,191.289,0.143245149753332,2228.687,2242.696,0.993753500251483
3908,"2020-06-30 00:00:00.000",2.872,0.573,0.199512534818941,5.271,4.897,1.07637328976925
3937,"2020-03-31 00:00:00.000",NA,-78.1250000000001,NA,1763.063,1859.275,0.948252948057711
3946,"2020-12-31 00:00:00.000",NA,214.5,NA,3657.4,3790.6,0.964860444256846
3962,"2020-12-31 00:00:00.000",18.468,-0.489000000000003,-0.0264782326185837,57.634,61.41,0.938511643054877
3964,"2020-01-31 00:00:00.000",1626.749,341.955,0.210207598099031,3430.257,3431.369,0.999675931093392
3969,"2020-12-31 00:00:00.000",998.418,238.853,0.239231464176327,1979.457,1639.384,1.20743950166648
3980,"2020-09-30 00:00:00.000",90871,7335,0.080718821186077,201549,193984,1.03899806169581
4001,"2020-12-31 00:00:00.000",63.882,5.44900000000004,0.0852978929902013,232.868,247.659,0.940276751501056
4016,"2020-01-31 00:00:00.000",7377.727,2730.43,0.370090950776574,22825.084,13204.038,1.72864422232047
4019,"2020-12-31 00:00:00.000",555.7,107.1,0.192729890228541,852.2,782.5,1.08907348242811
4029,"2020-12-31 00:00:00.000",29683,4879,0.164370178216488,95905,103823,0.923735588453426
4036,"2020-07-31 00:00:00.000",1003.8,408.8,0.407252440725244,2244.6,2142.6,1.04760571268552
4040,"2020-12-31 00:00:00.000",NA,241,NA,3130.9,3330.1,0.940181976517222
4045,"2020-12-31 00:00:00.000",84.564,33.776,0.399413461993283,88.327,116.883,0.755687311242867
4058,"2020-12-31 00:00:00.000",3684.196,1148.209,0.311657957394232,9152.074,8669.477,1.05566621838895
4060,"2020-12-31 00:00:00.000",41409,3988,0.0963075659880702,70904,69396,1.02173035909851
4066,"2020-12-31 00:00:00.000",3527.9,1778.4,0.504095921086199,27647.2,26783.4,1.03225131984737
4072,"2020-07-31 00:00:00.000",NA,-464.4,NA,2334.1,2699.8,0.86454552189051
4091,"2020-12-31 00:00:00.000",346.326,61.2770000000001,0.176934449045119,837.347,790.429,1.05935763996513
4093,"2020-12-31 00:00:00.000",55933,8145,0.145620653281605,162388,158838,1.02234981553533
4094,"2020-12-31 00:00:00.000",4624.2,385.7,0.0834090221011202,9219.4,9112.8,1.01169783162146
